Feed_ID,Feed_name,Catergory,Price(Won/kg),Concentrate(%),Forage(%),DM(%AF),NDF (%DM),Lignin (%NDF),CP (%DM),Sol-P (%CP),NPN (%Sol-P),NDICP (%CP),ADICP (%CP),Starch (%NSC),Crude fat (%DM),Crude ash (%DM),peNDF (%NDF),CHO-A (%/hr),CHO-B1 (%/hr),CHO-B2 (%/hr),CHO-C (%/hr),Protein-A (%/hr),Protein-B1 (%/hr),Protein-B2 (%/hr),Protein-B3 (%/hr),Protein-C (%/hr),ID-CHO-A (%),ID-CHO-B1 (%),ID-CHO-B2 (%),ID-CHO-C (%),ID-Protein-A (%),ID-Protein-B1 (%),ID-Protein-B2 (%),ID-Protein-B3 (%),ID-Protein-C (%),ID-Fat (%),ID-Ash (%),Methionine (%UIP),Lysine (%UIP),Arginine (%UIP),Threonine (%UIP),Leucine (%UIP),Isoleucine (%UIP),Valine (%UIP),Histidine (%UIP),Phenylalanine (%UIP),Tryptophan (%UIP),TDN (%DM),ME (Mcal/kg),NEm (Mcal/kg),NEg (Mcal/kg),RUP-3X (%CP),RUP-1X (%CP),Ca (%),P (%),Mg (%),Cl (%),K (%),0 (%),S (%),Co (mg/kg),Cu (mg/kg),I (mg/kg),Fe (mg/kg),Mn (mg/kg),Se (mg/kg),Zn (mg/kg),Vit A (1000 IU/kg),Vit D (1000 IU/kg),Vit E (IU/kg),Ca-Bio,P-Bio,Mg-Bio,Cl-Bio,K-Bio,0-Bio,S-Bio,Co-Bio,Cu-Bio,I-Bio,Fe-Bio,Mn-Bio,Se-Bio,Zn-Bio,VitA-Bio,VitD-Bio,VitE-Bio,Starch,Sugar,Lactic,Acetic,Proprionic,Butyric,Isobutyric,pH,AmmoniaCPE
1,Almond Hulls (CA) -  (601),By-Product Feed,0,100,0,88,33.7,30.1,5.67,93,93,30.5,30,95,2.39,5.03,85,300,40,4.2,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.47,4.54,4.72,2.74,4.86,2.46,3.3,1.84,2.99,1.64,64.2,,0,0,22.8,26.8,0.22,0.08,0.16,0,2.57,0.02,0,0,11,0,334,21,0.067,30,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
2,Apple - Pomace (602),By-Product Feed,0,0,100,22,41,2,5.4,11,100,30,31.5,100,4.7,5,30,350,50,5,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.67,2.83,2.83,2.83,5.49,2.83,3.83,1,3.5,4.5,69,2.49,1.6,1,49.9,41,0.23,0.11,0,0,0.53,0,0.11,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
3,Bakery  - Waste (603),By-Product Feed,0,100,0,92,18,5.56,9,40,75,6,3,85,12.7,5,10,300,16,7,0,100000,100,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.77,3.17,4.77,4.95,7.47,4.57,4.3,1.3,4.1,1,89,3.22,2.15,1.36,25.5,15.1,0.15,0.24,0.18,1.61,0.43,1.12,0.02,1.342,12.1,0,180,71.2,0,19.5,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
4,Barley - Malt Sprouts w/hulls (604),By-Product Feed,0,100,0,93,46,6.52,28.1,48,83,27,4,85,1.4,7,40,250,30,5,0,100000,135,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.17,3.5,11.7,2.83,6.67,3.67,4.5,2.17,5.17,1,71,2.57,1.45,0.89,35.4,30.2,0.19,0.68,0.18,0.39,0.27,0.95,0.85,0,6.3,0,200,31.7,0.448,60.7,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
5,Beet Pulp - Dehy (605) ground pellet,By-Product Feed,0,100,0,91,44.6,3.703703704,9.8,27,96,53,11,90,0.6,5.3,30,300,40,8,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,74,2.68,1.73,1.03,56.9,50.1,0.68,0.1,0.28,0.04,0.22,0.2,0.22,0.081,13.8,0,293,37.7,0.12,1,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
6,Beet pulp (CA) -  (606) shreds,By-Product Feed,0,100,0,91,35.8,4.13,8.73,27,96,46.1,7.4,90,0.48,8.45,50,300,40,8,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,70.5,,0,0,52.5,44.7,1.14,0.06,0.26,0,2.01,1.19,0,0,8,0,451,73,0.139,31,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
7,Bloodmeal -  (607),By-Product Feed,0,100,0,90,0.917,0,93.79,5,0,1,1,0,1.7,2.62,0,0,0,0,0,100000,135,3,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.07,9.34,5.01,4.73,13.4,0.88,9.08,6.45,7.86,1.88,66,2.39,1.31,0.82,65.7,43.5,0.4,0.32,0.04,0.33,0.31,0.4,0.8,0.097,13.9,0,2281,11.7,0.801,33,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
8,Citrus Pulp - Dehy (608) pellets,By-Product Feed,0,100,0,91,23,13.04,6.7,27,96,53,11,90,3.7,6.6,30,350,50,9,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,82,2.97,1.99,1.2,58.4,52.3,1.88,0.13,0.17,0,0.77,0.08,0.08,0.185,6.15,0,360,7,0,15,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
9,Citrus pulp (CA) -  (609) shreds,By-Product Feed,0,100,0,91,17.7,5.144149237,6.4,27,96,6.8,5.1,90,1.12,5.14,50,350,50,9,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,78,,0,0,30.5,18.2,1.43,0.11,0.1,0,0.67,1.07,0,0,2,0,82,7,0,37,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
10,Cottonseed Hulls -  (610) with hay,By-Product Feed,0,0,100,91,90,24,4.1,20,50,13,13,60,1.7,4,90,300,25,6,0,100000,175,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.91,5.05,11.81,4.14,6.67,4.34,5.49,2.4,6.59,0.3,45,,0.64,0.37,26.5,19.4,0.150000006,0.090000004,0.140000001,0.02,0.870000005,0.02,0.090000004,0.02,13,0,131,119,0.02,22,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
